Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4165728,0.8541278,379.8212,0.24312478,0.00029969972,0.1998999,0.00049950957,499.0,119.25848365771144,119.25848365771144,1.0
20000,1.3792961,16.718533,291.07697,0.24786353,0.0002991035,0.19970116,0.0004985357,499.0,212.23908019065857,212.23908019065857,1.0
30000,1.3673851,157.57991,777.512,0.23939236,0.0002985035,0.19950117,0.0004975557,499.0,889.1102651596069,889.1102651596069,1.0
40000,1.3548138,236.35625,704.4064,0.24206921,0.0002979035,0.19930115,0.0004965757,499.0,1068.7360958099366,1068.7360958099366,1.0
50000,1.3747966,411.74072,1361.3892,0.24747586,0.0002973035,0.19910116,0.0004955957,499.0,1747.8108709573746,1747.8108709573746,1.0
60000,1.3863821,355.91266,756.6726,0.24573764,0.00029670348,0.19890116,0.0004946157,499.0,1563.2593929290772,1563.2593929290772,1.0
70000,1.3851634,326.17493,993.8826,0.2442257,0.00029610348,0.19870117,0.0004936357,499.0,1440.8932049542666,1440.8932049542666,1.0
80000,1.395856,509.1049,1579.2318,0.24080965,0.00029550347,0.19850115,0.0004926557,499.0,2155.59968020916,2155.59968020916,1.0
90000,1.3953143,615.33417,2241.8918,0.24579069,0.00029490347,0.19830117,0.00049167575,499.0,2432.1357968330385,2432.1357968330385,1.0
100000,1.3951333,763.088,2789.3447,0.24256563,0.0002943035,0.19810118,0.0004906957,499.0,3130.041640299559,3130.041640299559,1.0
110000,1.4000707,667.242,3029.6167,0.24539888,0.0002937035,0.19790116,0.00048971566,499.0,2595.2731689691545,2595.2731689691545,1.0
120000,1.395065,389.21063,1866.3406,0.24436276,0.00029310348,0.19770117,0.0004887357,499.0,1603.70103957057,1603.70103957057,1.0
130000,1.393952,470.41895,2173.1199,0.25168028,0.0002925035,0.19750115,0.0004877557,499.0,2222.0662366241218,2222.0662366241218,1.0
140000,1.3971223,508.529,2309.157,0.2506515,0.0002919035,0.19730118,0.00048677568,499.0,2096.0745584130286,2096.0745584130286,1.0
150000,1.3994473,766.5875,3472.263,0.24572504,0.0002913035,0.19710116,0.0004857957,499.0,3487.3080714702605,3487.3080714702605,1.0
160000,1.3949682,637.26917,3220.427,0.24622723,0.0002907035,0.19690117,0.0004848157,499.0,2661.284978699684,2661.284978699684,1.0
170000,1.3803684,514.33154,2301.5254,0.25057507,0.0002901035,0.19670117,0.00048383567,499.0,2178.174000310898,2178.174000310898,1.0
180000,1.3589629,335.32892,1142.3912,0.24919729,0.00028950348,0.19650117,0.00048285568,499.0,1468.8334156751632,1468.8334156751632,1.0
190000,1.3545368,510.0795,2435.2563,0.24294476,0.00028890348,0.19630116,0.00048187567,499.0,2256.4870804786683,2256.4870804786683,1.0
200000,1.3391043,666.5748,3147.9753,0.24683328,0.00028830348,0.19610116,0.0004808957,499.0,2861.8964096546174,2861.8964096546174,1.0
210000,1.3364496,537.5819,1761.5511,0.24418518,0.00028770347,0.19590119,0.00047991564,499.0,2177.243667578697,2177.243667578697,1.0
220000,1.3245203,481.55045,2430.5212,0.24622849,0.00028710352,0.19570117,0.00047893572,499.0,2156.074246740341,2156.074246740341,1.0
230000,1.316945,385.4152,1119.0613,0.24263103,0.00028650352,0.19550116,0.00047795568,499.0,1760.0247925519943,1760.0247925519943,1.0
240000,1.3167932,452.0748,2813.7446,0.24636832,0.00028590352,0.19530116,0.00047697563,499.0,2077.0858604192736,2077.0858604192736,1.0
250000,1.3135238,463.07227,2008.3904,0.24759856,0.0002853035,0.19510117,0.0004759957,499.0,1921.669873714447,1921.669873714447,1.0
